Udane wysłanie i odbiór wiadomości ping
    module      value
0      0.0  62.037037
1      1.0  64.545455
2      2.0  90.825688
3      3.0  85.454545
4      4.0  80.555556
5      5.0  75.454545
6      6.0  84.545455
7      7.0  84.259259
8      8.0  79.090909
9      9.0  71.818182
10    10.0  82.568807
11    11.0  69.724771
12    12.0  93.518519
13    13.0  70.000000
14    14.0  77.272727
15    15.0  84.403670
16    16.0  73.636364
17    17.0  86.363636
18    18.0  81.818182
19    19.0  66.363636
20    20.0  77.272727
21    21.0  80.000000
22    22.0  80.909091
23    23.0  75.229358
24    24.0  80.733945
25    25.0  86.363636
26    26.0  44.444444
27    27.0  83.333333
28    28.0  78.181818
29    29.0  80.733945
30    30.0  76.363636
31    31.0  90.000000
32    32.0  67.889908
33    33.0  90.000000
34    34.0  48.181818
35    35.0  85.454545
36    36.0  75.454545
37    37.0  81.481481
38    38.0  75.925926
39    39.0  76.363636
40    40.0  80.555556
41    41.0  67.272727
42    42.0  68.181818
43    43.0  58.181818
44    44.0  69.724771
45    45.0  57.272727
46    46.0  77.064220
47    47.0  72.727273
48    48.0  75.925926
49    49.0  93.636364
50    50.0  79.629630
51    51.0  67.592593
52    52.0  78.703704
53    53.0  79.629630
54    54.0  72.477064
55    55.0  58.333333
56    56.0  79.816514
57    57.0  74.074074
58    58.0  69.090909
59    59.0  76.363636
60    60.0  60.000000
61    61.0  92.727273
62    62.0  51.851852
63    63.0  67.272727
64    64.0  90.740741
65    65.0  87.037037
66    66.0  79.090909
67    67.0  82.727273
68    68.0  58.715596
69    69.0  80.000000
70    70.0  59.090909
71    71.0  81.818182
72    72.0  86.111111
73    73.0  70.000000
74    74.0  95.412844
75    75.0  61.818182
76    76.0  68.518519
77    77.0  80.909091
78    78.0  81.818182
79    79.0  44.545455
80    80.0  69.090909
81    81.0  71.559633
82    82.0  71.559633
83    83.0  62.727273
84    84.0  84.545455
85    85.0  76.146789
86    86.0  81.818182
87    87.0  70.909091
88    88.0  58.181818
89    89.0  65.454545
90    90.0  79.090909
91    91.0  72.477064
92    92.0  58.333333
93    93.0  67.592593
94    94.0  80.909091
95    95.0  76.363636
96    96.0  66.972477
97    97.0  56.880734
98    98.0  81.481481
99    99.0  76.851852
