Ping round-trip time
      module      mean    stddev       min       max
82959      0  0.013344  0.010770  0.001394  0.043255
82963      1  0.021232  0.007575  0.007759  0.035437
82967      2  0.014975  0.011543  0.001214  0.054803
82971      3  0.011853  0.008711  0.001254  0.032537
82975      4  0.017885  0.012552  0.001454  0.072062
82979      5  0.018867  0.011142  0.001674  0.054709
82983      6  0.021190  0.019062  0.001234  0.108040
82987      7  0.014957  0.008273  0.001394  0.039343
82991      8  0.051054  0.230107  0.003159  1.944828
82995      9  0.013683  0.009168  0.001474  0.034501
82999     10  0.027806  0.109180  0.001554  1.006153
83003     11  0.019013  0.010486  0.001594  0.038350
83007     12  0.011636  0.008651  0.001474  0.030602
83011     13  0.015282  0.007357  0.003139  0.032025
83015     14  0.014942  0.008204  0.001474  0.027868
83019     15  0.013404  0.009949  0.001354  0.038602
83023     16  0.010246  0.007900  0.001394  0.031656
83027     17  0.018384  0.019089  0.001354  0.091060
83031     18  0.017736  0.020962  0.003738  0.199130
83035     19  0.016085  0.010785  0.001494  0.052802
83039     20  0.013909  0.013133  0.001314  0.060235
83043     21  0.016660  0.012544  0.001534  0.076773
83047     22  0.016439  0.030652  0.001454  0.278488
83051     23  0.027112  0.115871  0.001414  1.021174
83055     24  0.016010  0.008266  0.005203  0.036092
83059     25  0.014081  0.008231  0.001434  0.041380
83063     26  0.011520  0.006739  0.001394  0.025290
83067     27  0.015433  0.008242  0.001734  0.038444
83071     28  0.019001  0.012697  0.001294  0.057745
83075     29  0.020393  0.015224  0.001534  0.083303
83079     30  0.012864  0.007486  0.001754  0.029974
83083     31  0.012378  0.008698  0.001434  0.031989
83087     32  0.012412  0.010243  0.001534  0.031406
83091     33  0.016376  0.021522  0.001954  0.178348
83095     34  0.015090  0.011282  0.001554  0.037587
83099     35  0.020267  0.013734  0.001574  0.060855
83103     36  0.013792  0.009554  0.001514  0.037511
83107     37  0.018601  0.016878  0.001554  0.125112
83111     38  0.008431  0.005745  0.001334  0.027193
83115     39  0.013342  0.007878  0.003318  0.032448
83119     40  0.015965  0.010147  0.001374  0.042195
83123     41  0.057285  0.262856  0.001494  2.029861
83127     42  0.012855  0.010760  0.001394  0.044055
83131     43  0.015795  0.011892  0.001594  0.056703
83135     44  0.014222  0.008271  0.001574  0.029902
83139     45  0.017069  0.005832  0.005063  0.030590
83143     46  0.017406  0.007903  0.001614  0.030190
83147     47  0.015199  0.009490  0.003319  0.047577
83151     48  0.016175  0.009277  0.001754  0.038329
83155     49  0.018215  0.040367  0.001414  0.397994
83159     50  0.012852  0.008217  0.001454  0.034205
83163     51  0.012406  0.012284  0.001274  0.044388
83167     52  0.014733  0.012095  0.001494  0.041256
83171     53  0.011299  0.009023  0.001594  0.058375
83175     54  0.012642  0.010387  0.001314  0.031985
83179     55  0.012284  0.008504  0.001334  0.032194
83183     56  0.012711  0.009148  0.001374  0.033329
83187     57  0.018756  0.011763  0.003998  0.070948
83191     58  0.011535  0.007692  0.001274  0.029492
83195     59  0.016274  0.010748  0.001294  0.060132
83199     60  0.013163  0.009625  0.001634  0.037039
83203     61  0.012787  0.013035  0.001334  0.085441
83207     62  0.012684  0.009867  0.001434  0.028899
83211     63  0.017639  0.011630  0.001714  0.047792
83215     64  0.015817  0.020263  0.001654  0.142835
83219     65  0.028201  0.107643  0.001534  1.025673
83223     66  0.018482  0.011094  0.003118  0.047213
83227     67  0.014085  0.010795  0.001494  0.036329
83231     68  0.013932  0.009049  0.001654  0.041298
83235     69  0.020830  0.047967  0.001434  0.440156
83239     70  0.008565  0.009186  0.001274  0.032640
83243     71  0.016916  0.010511  0.001514  0.037814
83247     72  0.012855  0.008759  0.001714  0.036366
83251     73  0.019703  0.013105  0.001294  0.061774
83255     74  0.018586  0.011757  0.003359  0.077323
83259     75  0.016295  0.009498  0.001594  0.032496
83263     76  0.015732  0.009362  0.003198  0.034430
83267     77  0.012581  0.006675  0.002879  0.027140
83271     78  0.014358  0.008172  0.001434  0.032734
83275     79  0.026692  0.075145  0.001754  0.528260
83279     80  0.017078  0.008806  0.004251  0.034035
83283     81  0.019756  0.020916  0.001836  0.107434
83287     82  0.027555  0.115755  0.001714  1.033653
83291     83  0.013781  0.008729  0.001534  0.032070
83295     84  0.015859  0.014002  0.001554  0.094499
83299     85  0.024490  0.112555  0.001594  1.027690
83303     86  0.012010  0.008978  0.001474  0.031096
83307     87  0.026450  0.084317  0.001254  0.755815
83311     88  0.014355  0.008325  0.001634  0.039640
83315     89  0.017545  0.025459  0.001454  0.206788
83319     90  0.015244  0.013363  0.001374  0.093278
83323     91  0.014585  0.010138  0.001734  0.033453
83327     92  0.027410  0.034986  0.001514  0.200296
83331     93  0.019586  0.007187  0.007427  0.033685
83335     94  0.015422  0.008110  0.001674  0.030871
83339     95  0.017108  0.016372  0.001314  0.115417
83343     96  0.015563  0.009367  0.001934  0.041251
83347     97  0.016026  0.012312  0.001574  0.079405
83351     98  0.013052  0.009757  0.001634  0.032565
83355     99  0.013820  0.011424  0.001414  0.035797
